smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,330.37,0.0,2.05,510.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95839E0>
C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1,368.43,0.0,3.99,500.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE6D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB6D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583A50>
CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,441.26,0.0,4.5,92300.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583AC0>
COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,433.9,0.0,4.88,52.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE7B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB7B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583B30>
CC(=O)OCO/N=[N+](/[O-])N1CCC[C@@H]1C(=O)OCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,573.58,2.0,2.4,2400.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583BA0>
Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],358.41,0.0,4.76,420000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583C10>
COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],374.41,0.0,4.46,430000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583C80>
COc1ccc2c(c1)c(CC(=O)Nc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,489.96,1.0,5.44,120.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583CF0>
Cc1c(C(N)C(=O)NCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,490.51,0.0,2.32,21000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE9E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB9E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583D60>
CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,275.39,0.0,3.4,6000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BEA50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BBA50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583DD0>
