,Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value
93,CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1,297.77,0.0,2.85,5930.0
94,CN(C)c1ccc(-c2nnnn2-c2ccc(S(N)(=O)=O)cc2)cc1,344.4,0.0,1.04,7000.0
95,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc4ccccc4c3)cc(C(F)(F)F)n2)cc1,457.48,1.0,5.33,10000.0
97,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCCC3)n2)cc1,414.45,0.0,4.67,10.0
98,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCCCC3)n2)cc1,400.42,0.0,4.28,10.0
99,Cc1ccc(Oc2nc(-c3ccc(S(C)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,408.4,0.0,4.67,10.0
100,CC(C)(C)Oc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,374.38,0.0,3.74,33.0
101,CS(=O)(=O)c1ccc(-c2cc(OCC(F)(F)F)nc(NC3CCCCC3)n2)cc1,429.46,0.0,4.23,16.0
102,CCCNc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,359.37,0.0,3.39,5.0
103,CS(=O)(=O)c1ccc(-c2cnc(Oc3ccccc3)nc2-c2ccc(F)cc2)cc1,420.47,1.0,5.15,4640.0
104,CS(=O)(=O)c1ccc(-c2cncnc2-c2ccc(F)cc2)cc1,328.37,0.0,3.35,83920.86516663861
105,CS(=O)(=O)c1ccc(-c2cnc(CC(N)=O)nc2-c2ccc(F)cc2)cc1,385.42,0.0,2.38,83920.87717833834
106,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3O)nc2-c2ccc(F)cc2)cc1,434.49,0.0,4.65,43.0
107,NS(=O)(=O)c1ccc(/N=C/c2ccc(O)c(O)c2)cc1,292.32,0.0,1.5,2850.0
108,Cc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,274.35,0.0,2.39,4940.0
109,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cc(S(=O)(=O)Cc3ccccc3)n2)cc1,456.47,0.0,3.54,10000.0
110,CCN(Cc1ccccc1)c1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,435.47,0.0,4.59,10000.0
111,Cc1ccc2c(c1)oc(=O)n2Cc1cn(-c2ccc(Cl)cc2)nn1,340.77,0.0,3.19,5600.0
112,Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.17,0.0,-1.04,83920.83388059061
113,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,311.41,0.0,3.86,60.0
114,COC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1,309.34,0.0,4.38,83920.86116841712
115,COc1cc(CCc2ccccc2O)c(O)c(OC)c1,274.32,0.0,2.9,83920.85377013532
116,NCCCNCCSP(=O)(O)O,214.23,0.0,-0.25,83920.84106826311
117,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,315.37,0.0,3.69,510.0
118,CCCCCCCCc1ccccc1OC(C)=O,248.37,0.0,4.51,40000.0
119,CS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,317.35,0.0,2.48,210.0
120,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,533.58,1.0,1.45,450000.0
121,Cc1cc(=O)c(Oc2ccc(Cl)cc2F)c(-c2ccc([S@@+](C)[O-])cc2)o1,392.83,0.0,4.94,2470.0
122,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,394.46,0.0,3.11,0.44
123,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C,917.14,2.0,4.32,83920.98927472981
124,NS(=O)(=O)c1ccc(/N=N/c2ccc(O)c(O)c2)cc1,293.3,0.0,2.16,12420.0
125,NS(=O)(=O)c1ccc(/C=N/c2ccc(O)cc2)cc1,276.32,0.0,1.79,5090.0
126,CN(C)c1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1,303.39,0.0,2.15,1950.0
127,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,643.58,2.0,6.61,197900.0
128,Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,347.83,0.0,3.3,284.0
129,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2O)cc1,349.8,0.0,2.7,1000.0
130,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,376.82,0.0,3.32,6.0
131,CS(=O)(=O)Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccccc1Cl,429.97,0.0,3.92,40000.0
132,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,372.33,0.0,2.5,407.38
133,Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)s2)o1,353.85,0.0,4.44,1200.0
134,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(=O)(=O)N(C)C)cc2)co1,400.38,0.0,3.1,4168.69
135,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,394.32,1.0,5.13,1.0
136,Cc1ccc(Nc2c(C)cccc2Cl)c(CC(=O)O)c1,289.76,0.0,4.33,60.0
137,CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)COC3)cc1,368.43,0.0,4.59,83.18
138,CS(=O)(=O)c1ccc(-c2oc(-c3ccccc3)nc2C2CCCCC2)cc1,381.5,1.0,5.46,100000.0
139,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,362.84,0.0,3.6,11.0
140,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc([N+](=O)[O-])c2)cc1,411.36,0.0,3.87,575.44
141,CS(=O)(=O)c1ccc(-c2cnc(C=O)n2-c2ccc(F)cc2)cc1,344.37,0.0,2.89,1000.0
142,CS(=O)(=O)c1ccc(-c2cc(/C=C\CC[N+](=O)[O-])nn2C2CCCCC2)cc1,403.5,0.0,4.14,500.0
143,COc1ccc(-c2cscc2-c2ccc(S(N)(=O)=O)cc2)cc1F,363.44,0.0,3.88,9.0
144,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)S(=O)OC2)cc1,334.42,0.0,2.65,100000.0
145,CS(=O)(=O)c1ccc(-c2cc3ccccc3cc2-c2ccccc2)cc1,358.46,1.0,5.58,41000.0
146,Nc1c(C(=O)N/N=C/c2ccc(O)cc2)cnn1-c1ccc(S(N)(=O)=O)cc1,400.42,0.0,0.57,60.0
147,COc1cc(-c2ccccc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,329.38,0.0,2.2,100000.0
148,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2ccc3c(c2)OCCO3)cc1,426.42,0.0,3.73,240.0
149,CS(=O)(=O)Nc1cc2c(cc1S(=O)(=O)c1ccc(F)cc1F)C(=O)CC2,401.41,0.0,2.3,10000.0
150,CC(C)(O)c1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,391.49,0.0,4.1,410.0
